"POA_CODE_2016","POA_NUMBER_2016","POA_NAME_2016","AREA_ALBERS_SQKM"
"0800",800,"0800",3.1734
"0810",810,"0810",23.7902
"0812",812,"0812",35.8899
"0815",815,"0815",0.6381
"0820",820,"0820",39.0462
"0822",822,"0822",150783.0188
"0828",828,"0828",28.6532
"0829",829,"0829",44.8402
"0830",830,"0830",235.004
"0832",832,"0832",19.7272
"0834",834,"0834",32.6301
"0835",835,"0835",76.8403
"0836",836,"0836",130.9305
"0837",837,"0837",118.1157
"0838",838,"0838",86.3366
"0839",839,"0839",1.1346
"0840",840,"0840",291.4476
"0841",841,"0841",142.2064
"0845",845,"0845",115.696
"0846",846,"0846",146.7377
"0847",847,"0847",402.0523
"0850",850,"0850",551.1508
"0852",852,"0852",441673.019
"0853",853,"0853",106.2851
"0854",854,"0854",12.5633
"0860",860,"0860",42.0605
"0862",862,"0862",117526.0241
"0870",870,"0870",59.6122
"0872",872,"0872",970496.8141
"0873",873,"0873",172.5253
"0874",874,"0874",72.1518
"0875",875,"0875",29.0124
"0880",880,"0880",88.9707
"0885",885,"0885",2.7429
"0886",886,"0886",13.5083
